path,Statcast,PitchFX,Pre-tracking
gameData.players.ID114833.lastInitName,N/A,N/A,str
gameData.players.ID114833.lastName,N/A,N/A,str
gameData.players.ID114833.lastPlayedDate,N/A,N/A,str
gameData.players.ID114833.link,N/A,N/A,str
gameData.players.ID114833.middleName,N/A,N/A,str
gameData.players.ID114833.mlbDebutDate,N/A,N/A,str
gameData.players.ID114833.nameFirstLast,N/A,N/A,str
gameData.players.ID114833.nameSlug,N/A,N/A,str
gameData.players.ID114833.pitchHand.code,N/A,N/A,str
gameData.players.ID114833.pitchHand.description,N/A,N/A,str
gameData.players.ID114833.primaryNumber,N/A,N/A,str
gameData.players.ID114833.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID114833.primaryPosition.code,N/A,N/A,str
gameData.players.ID114833.primaryPosition.name,N/A,N/A,str
gameData.players.ID114833.primaryPosition.type,N/A,N/A,str
gameData.players.ID114833.pronunciation,N/A,N/A,str
gameData.players.ID114833.strikeZoneBottom,N/A,N/A,float
gameData.players.ID114833.strikeZoneTop,N/A,N/A,float
gameData.players.ID114833.useLastName,N/A,N/A,str
gameData.players.ID114833.useName,N/A,N/A,str
gameData.players.ID114833.weight,N/A,N/A,int
gameData.players.ID115007.active,N/A,N/A,bool
gameData.players.ID115007.batSide.code,N/A,N/A,str
gameData.players.ID115007.batSide.description,N/A,N/A,str
gameData.players.ID115007.birthCity,N/A,N/A,str
gameData.players.ID115007.birthCountry,N/A,N/A,str
gameData.players.ID115007.birthDate,N/A,N/A,str
gameData.players.ID115007.birthStateProvince,N/A,N/A,str
gameData.players.ID115007.boxscoreName,N/A,N/A,str
gameData.players.ID115007.currentAge,N/A,N/A,int
gameData.players.ID115007.draftYear,N/A,N/A,int
gameData.players.ID115007.firstLastName,N/A,N/A,str
gameData.players.ID115007.firstName,N/A,N/A,str
gameData.players.ID115007.fullFMLName,N/A,N/A,str
gameData.players.ID115007.fullLFMName,N/A,N/A,str
gameData.players.ID115007.fullName,N/A,N/A,str
gameData.players.ID115007.gender,N/A,N/A,str
gameData.players.ID115007.height,N/A,N/A,str
gameData.players.ID115007.id,N/A,N/A,int
gameData.players.ID115007.initLastName,N/A,N/A,str
gameData.players.ID115007.isPlayer,N/A,N/A,bool
gameData.players.ID115007.isVerified,N/A,N/A,bool
gameData.players.ID115007.lastFirstName,N/A,N/A,str
gameData.players.ID115007.lastInitName,N/A,N/A,str
gameData.players.ID115007.lastName,N/A,N/A,str
gameData.players.ID115007.lastPlayedDate,N/A,N/A,str
gameData.players.ID115007.link,N/A,N/A,str
gameData.players.ID115007.middleName,N/A,N/A,str
gameData.players.ID115007.mlbDebutDate,N/A,N/A,str
